Date,Latitude,Longitude,Advisory
2021-02-07,38.115294,-121.68806,Caution
2021-05-13,37.776522,-121.28448,Caution
2021-05-29,37.894152,-121.61632,Danger
2021-05-30,37.9673037,-121.30852,Danger
2021-06-03,37.894508,-121.60631,Caution
2021-06-04,38.014888,-121.62439,Caution
2021-06-07,38.012454,-121.728242,Danger
2021-06-09,37.969546,-121.5723,Caution
2021-06-09,37.953705,-121.29565,Caution
2021-06-09,37.857911,-121.56665,Caution
2021-06-09,37.966107,-121.369207,Caution
2021-06-28,38.043043,-121.35683,Caution
2021-06-29,38.042907,-121.35162,Caution
2021-06-29,37.977902,-121.38034,Caution
2021-06-29,37.958487,-121.34496,Caution
2021-06-30,37.858238,-121.5683,Caution
2021-07-01,37.963056,-121.46805,Caution
2021-07-02,37.995586,-121.5126,Caution
2021-07-07,37.967875,-121.36337,Caution
2021-07-19,38.019889,-121.745763,Caution
2021-07-19,38.048602,-121.623448,Caution
2021-07-20,38.050629,-121.69968,Caution
2021-07-20,38.140573,-121.69477,Caution
2021-07-20,38.058193,-121.45872,Caution
2021-07-20,38.118587,-121.68412,Caution
2021-07-20,38.014789,-121.78457,Caution
2021-07-20,38.055699,-121.78488,Caution
2021-07-20,38.186334,-121.66259,Caution
2021-08-03,37.972023,-121.373993,Caution
2021-08-04,38.1498,-121.69338,Caution
2021-08-04,38.2787,-121.69445,Caution
2021-08-04,38.24246,-121.687,Caution
2021-08-06,38.1501,-121.6938,Caution
2021-08-06,38.04846,-121.60079,Caution
2021-08-06,38.2381,-121.6823,Caution
2021-08-11,37.964146,-121.5737319,Caution
2021-08-28,38.108722,-121.6033,Caution
2021-08-30,38.118905,-121.68391,Caution
2021-09-01,38.0164,-121.5819,Caution
2021-09-01,38.0272,-121.5645,Caution
2021-09-01,38.0031,-121.5108,Caution
2021-09-01,37.9928,-121.4542,Caution
2021-09-05,38.1161026,-121.62552,Caution
2021-09-07,37.955427,-121.347483,Caution
2021-09-15,38.1061,-121.5711,Caution
2021-09-15,38.0711,-121.5789,Caution
2021-09-15,38.0678,-121.6488,Caution
2021-09-15,38.1033,-121.6861,Caution
2021-09-15,38.0558,-121.6669,Caution
2021-10-01,37.8938,-121.6108,Caution
