Date,Name,AvgCI,NonDetect,Low,Moderate,High,VeryHigh,InvalidOrMissing
2020-05-01,Franks Tract,0,81,0,0,0,0,85
2020-05-04,Franks Tract,0,105,0,0,0,0,61
2020-05-04,Mildred Island,0,17,0,0,0,0,25
2020-05-05,Franks Tract,0,56,0,0,0,0,110
2020-05-09,Franks Tract,0,65,0,0,0,0,101
2020-05-09,Mildred Island,0,11,0,0,0,0,31
2020-05-11,Franks Tract,0,82,0,0,0,0,84
2020-05-11,Mildred Island,0,20,0,0,0,0,22
2020-05-15,Franks Tract,0,126,0,0,0,0,40
2020-05-15,Mildred Island,0,29,0,0,0,0,13
2020-05-19,Franks Tract,0,108,0,0,0,0,58
2020-05-19,Mildred Island,0,21,0,0,0,0,21
2020-05-20,Franks Tract,0,91,0,0,0,0,75
2020-05-20,Mildred Island,0,16,0,0,0,0,26
2020-05-23,Franks Tract,0,101,0,0,0,0,65
2020-05-23,Mildred Island,0,24,0,0,0,0,18
2020-05-24,Franks Tract,0,102,0,0,0,0,64
2020-05-24,Mildred Island,0,13,0,0,0,0,29
2020-05-27,Franks Tract,0,122,0,0,0,0,44
2020-05-27,Mildred Island,0,18,0,0,0,0,24
2020-05-28,Franks Tract,0,93,0,0,0,0,73
2020-06-01,Mildred Island,0,12,0,0,0,0,30
2020-06-03,Franks Tract,0,59,0,0,0,0,107
2020-06-04,Franks Tract,0,136,0,0,0,0,30
2020-06-04,Mildred Island,0,20,0,0,0,0,22
2020-06-05,Franks Tract,0,80,0,0,0,0,86
2020-06-05,Mildred Island,0,18,0,0,0,0,24
2020-06-07,Franks Tract,1.986607142857143e-5,109,0,2,1,0,54
2020-06-08,Franks Tract,0,140,0,0,0,0,26
2020-06-08,Mildred Island,0,24,0,0,0,0,18
2020-06-11,Franks Tract,0,130,0,0,0,0,36
2020-06-16,Franks Tract,0,136,0,0,0,0,30
2020-06-16,Mildred Island,0,14,0,0,0,0,28
2020-06-19,Franks Tract,0,139,0,0,0,0,27
2020-06-19,Mildred Island,0,23,0,0,0,0,19
2020-06-20,Franks Tract,0,114,0,0,0,0,52
2020-06-20,Mildred Island,0,14,0,0,0,0,28
2020-06-23,Franks Tract,0,112,0,0,0,0,54
2020-06-23,Mildred Island,0,18,0,0,0,0,24
2020-06-24,Franks Tract,0,95,0,0,0,0,71
2020-06-27,Franks Tract,0,114,0,0,0,0,52
2020-06-27,Mildred Island,0,15,0,0,0,0,27
2020-06-28,Franks Tract,0,54,0,0,0,0,112
2020-06-30,Franks Tract,1.5714285714285715e-5,104,0,0,1,0,61
2020-06-30,Mildred Island,7.485714285714285e-5,12,0,2,0,0,28
2020-07-01,Franks Tract,0,134,0,0,0,0,32
2020-07-01,Mildred Island,2.3e-5,16,0,2,0,0,24
2020-07-02,Franks Tract,0,103,0,0,0,0,63
2020-07-02,Mildred Island,0,11,0,0,0,0,31
2020-07-04,Franks Tract,3.932835820895522e-6,132,1,1,0,0,32
2020-07-04,Mildred Island,0,19,0,0,0,0,23
2020-07-05,Franks Tract,0,141,0,0,0,0,25
2020-07-05,Mildred Island,3.95e-5,22,0,4,0,0,16
2020-07-08,Franks Tract,0,124,0,0,0,0,42
2020-07-08,Mildred Island,0,28,0,0,0,0,14
2020-07-09,Franks Tract,0,125,0,0,0,0,41
2020-07-09,Mildred Island,6.74e-4,9,1,3,6,0,23
2020-07-12,Franks Tract,0,135,0,0,0,0,31
2020-07-12,Mildred Island,4.942e-4,13,0,12,5,0,12
2020-07-13,Franks Tract,0,116,0,0,0,0,50
2020-07-13,Mildred Island,0.0012780863636363635,7,2,2,11,0,20
2020-07-16,Franks Tract,0,116,0,0,0,0,50
2020-07-16,Mildred Island,2.9500000000000002e-5,13,0,1,0,0,28
2020-07-17,Franks Tract,0,131,0,0,0,0,35
2020-07-20,Franks Tract,0,116,0,0,0,0,50
2020-07-21,Franks Tract,0,47,0,0,0,0,119
2020-07-24,Franks Tract,0,76,0,0,0,0,90
2020-07-24,Mildred Island,0.0012946666666666666,5,0,0,10,0,27
2020-07-25,Franks Tract,0,48,0,0,0,0,118
2020-07-27,Franks Tract,0,94,0,0,0,0,72
2020-07-27,Mildred Island,0,23,0,0,0,0,19
2020-07-29,Franks Tract,0,98,0,0,0,0,68
2020-07-31,Franks Tract,4.337313432835821e-5,128,0,3,3,0,32
2020-07-31,Mildred Island,3.3e-5,22,0,1,0,0,19
2020-08-01,Franks Tract,0,141,0,0,0,0,25
2020-08-01,Mildred Island,9.278787878787879e-5,29,0,3,1,0,9
2020-08-04,Franks Tract,0,138,0,0,0,0,28
2020-08-04,Mildred Island,0,28,0,0,0,0,14
2020-08-05,Franks Tract,0,130,0,0,0,0,36
2020-08-05,Mildred Island,0,20,0,0,0,0,22
2020-08-08,Franks Tract,0,115,0,0,0,0,51
2020-08-08,Mildred Island,0,28,0,0,0,0,14
2020-08-09,Franks Tract,0,89,0,0,0,0,77
2020-08-09,Mildred Island,0,19,0,0,0,0,23
2020-08-12,Franks Tract,0,128,0,0,0,0,38
2020-08-12,Mildred Island,0,20,0,0,0,0,22
2020-08-13,Franks Tract,0,115,0,0,0,0,51
2020-08-16,Franks Tract,0,119,0,0,0,0,47
2020-08-16,Mildred Island,5.340666666666667e-4,6,0,5,4,0,27
2020-08-27,Franks Tract,0,118,0,0,0,0,48
2020-08-27,Mildred Island,5.902916666666667e-4,9,2,7,6,0,18
2020-08-31,Franks Tract,0,65,0,0,0,0,101
2020-09-01,Franks Tract,0,91,0,0,0,0,75
2020-09-01,Mildred Island,0,25,0,0,0,0,17
2020-09-04,Franks Tract,0,119,0,0,0,0,47
2020-09-04,Mildred Island,0.0027575,6,0,0,26,0,10
2020-09-05,Franks Tract,0,105,0,0,0,0,61
2020-09-05,Mildred Island,0.002411578947368421,8,0,0,11,0,23
2020-09-16,Franks Tract,0,123,0,0,0,0,43
2020-09-16,Mildred Island,0.0016785,6,0,0,14,0,22
2020-09-19,Franks Tract,0,116,0,0,0,0,50
2020-09-23,Franks Tract,8.688524590163933e-6,121,0,0,1,0,44
2020-09-23,Mildred Island,0,28,0,0,0,0,14
2020-09-24,Franks Tract,0,117,0,0,0,0,49
2020-09-24,Mildred Island,0,20,0,0,0,0,22
2020-09-27,Franks Tract,0,122,0,0,0,0,44
2020-09-27,Mildred Island,0,24,0,0,0,0,18
2020-09-28,Franks Tract,8.05128205128205e-5,115,0,0,2,0,49
2020-09-28,Mildred Island,0,11,0,0,0,0,31
2020-10-05,Franks Tract,0,129,0,0,0,0,37
2020-10-05,Mildred Island,0,22,0,0,0,0,20
2020-10-13,Franks Tract,2.752212389380531e-5,112,0,0,1,0,53
2020-10-13,Mildred Island,0,21,0,0,0,0,21
2020-10-14,Franks Tract,0,99,0,0,0,0,67
2020-10-16,Franks Tract,3.418032786885246e-5,120,0,0,2,0,44
2020-10-16,Mildred Island,0,20,0,0,0,0,22
2020-10-17,Franks Tract,2.7258064516129034e-5,123,0,0,1,0,42
2020-10-17,Mildred Island,0,24,0,0,0,0,18
2020-10-18,Franks Tract,1.944736842105263e-5,74,0,2,0,0,90
2020-10-20,Franks Tract,2.966101694915254e-6,117,0,1,0,0,48
2020-10-20,Mildred Island,0,27,0,0,0,0,15
2020-10-21,Franks Tract,3.6634615384615383e-6,103,0,1,0,0,62
2020-10-21,Mildred Island,0,27,0,0,0,0,15
2020-10-24,Franks Tract,0,115,0,0,0,0,51
2020-10-24,Mildred Island,0,28,0,0,0,0,14
2020-10-28,Franks Tract,1.0542372881355933e-5,116,0,2,0,0,48
2020-10-28,Mildred Island,0,23,0,0,0,0,19
2020-10-29,Mildred Island,0,15,0,0,0,0,27
2020-11-01,Franks Tract,0,119,0,0,0,0,47
2020-11-01,Mildred Island,0,23,0,0,0,0,19
