Date,Region,NonDetect,Low,Moderate,High,VeryHigh,InvalidOrMissing
2019-06-03,Franks Tract,130,0,0,0,0,36
2019-06-03,Mildred Island,30,0,0,0,0,12
2019-06-03,Clifton Court Forebay,91,0,0,0,0,18
2019-06-03,Liberty Island,114,0,0,0,0,30
2019-06-04,Franks Tract,113,0,0,0,0,53
2019-06-04,Mildred Island,17,0,0,0,0,25
2019-06-04,Clifton Court Forebay,74,0,0,0,0,35
2019-06-04,Liberty Island,100,0,0,0,0,44
2019-06-07,Franks Tract,129,0,0,0,0,37
2019-06-07,Mildred Island,28,0,0,0,0,14
2019-06-07,Clifton Court Forebay,89,0,0,0,0,20
2019-06-07,Liberty Island,114,0,0,0,0,30
2019-06-08,Franks Tract,64,0,0,0,0,102
2019-06-08,Clifton Court Forebay,82,0,2,0,0,25
2019-06-08,Liberty Island,125,0,0,0,0,19
2019-06-11,Franks Tract,121,0,0,0,0,45
2019-06-11,Mildred Island,24,0,0,0,0,18
2019-06-11,Clifton Court Forebay,82,0,0,0,0,27
2019-06-11,Liberty Island,103,0,0,0,0,41
2019-06-12,Franks Tract,98,0,0,0,0,68
2019-06-12,Mildred Island,17,0,0,0,0,25
2019-06-12,Clifton Court Forebay,75,0,0,0,0,34
2019-06-12,Liberty Island,57,0,0,0,0,87
2019-06-15,Franks Tract,134,0,0,0,0,32
2019-06-15,Mildred Island,20,0,0,0,0,22
2019-06-15,Clifton Court Forebay,82,0,1,0,0,26
2019-06-15,Liberty Island,115,0,0,0,0,29
2019-06-16,Franks Tract,102,0,0,0,0,64
2019-06-16,Mildred Island,16,0,0,0,0,26
2019-06-16,Clifton Court Forebay,80,0,0,0,0,29
2019-06-16,Liberty Island,100,0,0,0,0,44
2019-06-18,Franks Tract,51,0,0,0,0,115
2019-06-18,Liberty Island,51,0,0,0,0,93
2019-06-19,Franks Tract,131,0,0,0,0,35
2019-06-19,Mildred Island,26,0,0,0,0,16
2019-06-19,Clifton Court Forebay,87,0,0,0,0,22
2019-06-19,Liberty Island,117,0,0,0,0,27
2019-06-20,Franks Tract,97,0,0,0,0,69
2019-06-20,Mildred Island,11,0,0,0,0,31
2019-06-20,Clifton Court Forebay,69,0,0,0,0,40
2019-06-20,Liberty Island,103,0,0,0,0,41
2019-06-22,Franks Tract,129,0,1,2,0,34
2019-06-22,Mildred Island,31,0,0,0,0,11
2019-06-22,Clifton Court Forebay,76,0,0,0,0,33
2019-06-22,Liberty Island,120,0,1,0,0,23
2019-06-23,Franks Tract,125,0,0,0,0,41
2019-06-23,Mildred Island,26,0,0,0,0,16
2019-06-23,Clifton Court Forebay,82,0,0,0,0,27
2019-06-23,Liberty Island,115,0,0,0,0,29
2019-06-26,Franks Tract,130,0,0,0,0,36
2019-06-26,Mildred Island,31,0,0,0,0,11
2019-06-26,Clifton Court Forebay,88,0,0,1,0,20
2019-06-26,Liberty Island,121,0,0,0,0,23
2019-06-27,Clifton Court Forebay,63,0,0,1,0,45
2019-06-27,Liberty Island,92,0,0,0,0,52
2019-06-30,Franks Tract,147,0,0,0,0,19
2019-06-30,Mildred Island,27,0,0,0,0,15
2019-06-30,Clifton Court Forebay,83,0,0,0,0,26
2019-06-30,Liberty Island,119,0,1,0,0,24
2019-07-01,Franks Tract,135,0,0,0,0,31
2019-07-01,Mildred Island,20,0,0,0,0,22
2019-07-01,Clifton Court Forebay,73,0,0,0,0,36
2019-07-01,Liberty Island,121,0,0,0,0,23
2019-07-04,Franks Tract,125,0,0,0,0,41
2019-07-04,Mildred Island,27,0,0,0,0,15
