Source,Station,Latitude,Longitude,Date,Datetime,DissAmmonia_Sign,DissAmmonia,DissNitrateNitrite_Sign,DissNitrateNitrite,DissOrthophos_Sign,DissOrthophos,Chlorophyll_Sign,Chlorophyll
DWR_EMP,C3A,38.36771,-121.5205,2014-01-07,2014-01-07 10:30:00,=,0.02,=,0.08,=,0.03,=,3.03
DWR_EMP,C3A,38.36771,-121.5205,2014-02-05,2014-02-05 09:30:00,=,0.43,=,0.19,=,0.07,=,6.51
DWR_EMP,C3A,38.36771,-121.5205,2014-03-06,2014-03-06 09:23:00,=,0.25,=,0.45,=,0.06,=,4.17
DWR_EMP,C3A,38.36771,-121.5205,2014-04-04,2014-04-04 08:10:00,=,0.39,=,0.25,=,0.08,=,2.63
DWR_EMP,C3A,38.36771,-121.5205,2014-05-05,2014-05-05 09:07:00,=,0.94,=,0.28,=,0.1,=,3.73
DWR_EMP,C3A,38.36771,-121.5205,2014-06-18,2014-06-18 08:10:00,=,0.59,=,0.22,=,0.08,=,1.61
DWR_EMP,C3A,38.36771,-121.5205,2014-07-03,2014-07-03 08:52:00,=,0.58,=,0.21,=,0.09,=,2.63
DWR_EMP,C3A,38.36771,-121.5205,2014-08-15,2014-08-15 09:09:00,=,0.25,=,0.17,=,0.05,=,1.03
DWR_EMP,C3A,38.36771,-121.5205,2014-09-26,2014-09-26 07:30:00,=,0.73,=,0.34,=,0.13,=,0.99
DWR_EMP,C3A,38.36771,-121.5205,2014-10-03,2014-10-03 08:50:00,=,0.91,=,0.35,=,0.12,=,1.21
DWR_EMP,C3A,38.36771,-121.5205,2014-11-14,2014-11-14 12:48:00,=,0.7,=,0.5,=,0.13,=,0.68
DWR_EMP,C3A,38.36771,-121.5205,2014-12-19,2014-12-19 12:56:00,=,0.09,=,0.3,=,0.04,=,1.17
DWR_EMP,C3A,38.36771,-121.5205,2015-01-12,2015-01-12 12:09:00,=,0.5,=,0.37,=,0.08,=,0.81
DWR_EMP,C3A,38.36771,-121.5205,2015-02-17,2015-02-17 15:15:00,=,0.13,=,0.23,=,0.04,=,2.11
DWR_EMP,C3A,38.36771,-121.5205,2015-03-13,2015-03-13 11:21:00,=,0.53,=,0.19,=,0.07,=,2.33
DWR_EMP,C3A,38.36771,-121.5205,2015-04-14,2015-04-14 15:28:00,=,0.75,=,0.38,=,0.09,=,3.81
DWR_EMP,C3A,38.36771,-121.5205,2015-05-12,2015-05-12 10:29:00,=,0.32,=,0.29,=,0.06,=,1.35
DWR_EMP,C3A,38.36771,-121.5205,2015-06-05,2015-06-05 08:25:00,=,0.24,=,0.2,=,0.06,=,1.05
DWR_EMP,C3A,38.36771,-121.5205,2015-07-06,2015-07-06 07:45:00,=,0.26,=,0.14,=,0.04,=,1.58
DWR_EMP,C3A,38.36771,-121.5205,2015-08-03,2015-08-03 07:33:00,=,0.18,=,0.14,=,0.04,=,1.98
DWR_EMP,C3A,38.36771,-121.5205,2015-09-23,2015-09-23 14:00:00,=,0.52,=,0.28,=,0.05,=,0.79
DWR_EMP,C3A,38.36771,-121.5205,2015-10-16,2015-10-16 07:45:00,=,0.33,=,0.25,=,0.08,=,1.27
DWR_EMP,C3A,38.36771,-121.5205,2015-11-02,2015-11-02 11:15:00,=,0.52,=,0.38,=,0.08,=,1.27
DWR_EMP,C3A,38.36771,-121.5205,2015-12-01,2015-12-01 11:00:00,=,0.58,=,0.29,=,0.05,=,0.68
DWR_EMP,C3A,38.36771,-121.5205,2016-01-06,2016-01-06 15:00:00,=,0.49,=,0.38,=,0.07,=,1.26
DWR_EMP,C3A,38.36771,-121.5205,2016-02-01,2016-02-01 10:55:00,=,0.09,=,0.43,=,0.03,=,2.24
DWR_EMP,C3A,38.36771,-121.5205,2016-03-01,2016-03-01 09:56:00,=,0.31,=,0.28,=,0.05,=,1.65
DWR_EMP,C3A,38.36771,-121.5205,2016-04-12,2016-04-12 08:11:00,=,0.25,=,0.16,=,0.04,=,3
DWR_EMP,C3A,38.36771,-121.5205,2016-05-10,2016-05-10 08:00:00,=,0.5,=,0.1,=,0.08,=,1.09
DWR_EMP,C3A,38.36771,-121.5205,2016-06-08,2016-06-08 07:45:00,=,0.68,=,0.07,=,0.07,=,1.29
DWR_EMP,C3A,38.36771,-121.5205,2016-07-08,2016-07-08 08:15:00,=,0.38,=,0.05,=,0.04,=,1.54
DWR_EMP,C3A,38.36771,-121.5205,2016-08-05,2016-08-05 07:15:00,=,0.04,=,0.06,=,0.06,=,1.87
DWR_EMP,C3A,38.36771,-121.5205,2016-09-06,2016-09-06 09:30:00,=,0.32,=,0.1,=,0.06,=,2.28
DWR_EMP,C3A,38.36771,-121.5205,2016-10-20,2016-10-20 10:30:00,=,0.71,=,0.25,=,0.12,=,0.75
DWR_EMP,C3A,38.36771,-121.5205,2016-11-03,2016-11-03 09:00:00,=,0.44,=,0.34,=,0.1,=,1.09
DWR_EMP,C3A,38.36771,-121.5205,2016-12-05,2016-12-05 11:00:00,=,0.4,=,0.24,=,0.08,=,0.75
DWR_EMP,C3A,38.36771,-121.5205,2017-01-04,2017-01-04 10:45:00,=,0.3,=,0.22,=,0.06,=,1.81
DWR_EMP,C3A,38.36771,-121.5205,2017-02-03,2017-02-03 10:30:00,=,0.11,=,0.21,=,0.04,=,2
DWR_EMP,C3A,38.36771,-121.5205,2017-03-07,2017-03-07 10:45:00,=,0.11,=,0.19,=,0.04,=,2.5
DWR_EMP,C3A,38.36771,-121.5205,2017-04-03,2017-04-03 09:45:00,=,0.08,=,0.15,=,0.04,=,5.35
DWR_EMP,C3A,38.36771,-121.5205,2017-05-16,2017-05-16 08:30:00,=,0.1,=,0.06,=,0.03,=,2.59
DWR_EMP,C3A,38.36771,-121.5205,2017-06-13,2017-06-13 07:45:00,=,0.27,=,0.2,=,0.05,=,2.88
DWR_EMP,C3A,38.36771,-121.5205,2017-07-13,2017-07-13 08:15:00,=,0.79,=,0.11,=,0.1,=,5.82
DWR_EMP,C3A,38.36771,-121.5205,2017-08-10,2017-08-10 07:00:00,=,0.34,=,0.06,=,0.06,=,3.25
DWR_EMP,C3A,38.36771,-121.5205,2017-09-12,2017-09-12 10:15:00,=,0.22,=,0.09,=,0.06,=,2.9
DWR_EMP,C3A,38.36771,-121.5205,2017-10-10,2017-10-10 09:45:00,=,0.46,=,0.09,=,0.06,=,1.5
DWR_EMP,C3A,38.36771,-121.5205,2017-11-07,2017-11-07 08:45:00,=,0.58,=,0.13,=,0.08,=,1.44
DWR_EMP,C3A,38.36771,-121.5205,2017-12-07,2017-12-07 09:15:00,=,0.35,=,0.18,=,0.06,=,2.12
DWR_EMP,C3A,38.36771,-121.5205,2018-01-04,2018-01-04 08:15:00,=,0.45,=,0.15,=,0.07,=,2.66
DWR_EMP,C3A,38.36771,-121.5205,2018-02-09,2018-02-09 13:30:00,=,0.46,=,0.18,=,0.07,=,2.59
DWR_EMP,C3A,38.36771,-121.5205,2018-03-05,2018-03-05 08:30:00,=,0.46,=,0.23,=,0.06,=,3.59
DWR_EMP,C3A,38.36771,-121.5205,2018-04-06,2018-04-06 09:30:00,=,0.13,=,0.08,=,0.03,=,4.67
DWR_EMP,C3A,38.36771,-121.5205,2018-05-04,2018-05-04 08:15:00,=,0.67,=,0.05,=,0.08,=,5.59
DWR_EMP,C3A,38.36771,-121.5205,2018-06-05,2018-06-05 10:00:00,=,0.24,=,0.08,=,0.05,=,2.87
DWR_EMP,C3A,38.36771,-121.5205,2018-07-17,2018-07-17 09:00:00,=,0.4,=,0.05,=,0.07,=,1.57
DWR_EMP,C3A,38.36771,-121.5205,2018-08-02,2018-08-02 09:00:00,=,0.57,=,0.08,=,0.1,=,1.19
DWR_EMP,C3A,38.36771,-121.5205,2018-09-07,2018-09-07 15:15:00,=,0.33,=,0.07,=,0.063,=,1.16
DWR_EMP,C3A,38.36771,-121.5205,2018-10-12,2018-10-12 09:30:00,=,0.53,=,0.2,=,0.099,=,NA
DWR_EMP,C3A,38.36771,-121.5205,2018-11-09,2018-11-09 08:00:00,=,1.22,=,0.156,=,0.141,=,0.71
DWR_EMP,C3A,38.36771,-121.5205,2018-12-10,2018-12-10 08:00:00,=,0.568,=,0.259,=,0.099,=,0.98
DWR_EMP,C3A,38.36771,-121.5205,2019-01-09,2019-01-09 08:15:00,=,0.23,=,0.46,=,0.075,=,1.07
DWR_EMP,C3A,38.36771,-121.5205,2019-02-07,2019-02-07 07:15:00,=,0.14,=,0.3,=,0.062,=,1.88
DWR_EMP,C3A,38.36771,-121.5205,2019-03-11,2019-03-11 07:45:00,=,0.09,=,0.18,<,0.05,=,1.73
DWR_EMP,C3A,38.36771,-121.5205,2019-04-09,2019-04-09 08:00:00,=,0.09,=,0.105,<,0.05,=,3.39
DWR_EMP,C3A,38.36771,-121.5205,2019-05-08,2019-05-08 07:30:00,=,0.17,=,0.094,<,0.05,=,1.12
DWR_EMP,C3A,38.36771,-121.5205,2019-06-06,2019-06-06 07:00:00,=,0.104,=,0.09,<,0.05,=,1.02
DWR_EMP,C3A,38.36771,-121.5205,2019-07-08,2019-07-08 10:00:00,=,0.253,=,0.089,<,0.05,=,1.17
DWR_EMP,C3A,38.36771,-121.5205,2019-08-02,2019-08-02 06:00:00,=,0.337,=,0.091,=,0.061,=,1.53
DWR_EMP,C3A,38.36771,-121.5205,2019-09-03,2019-09-03 09:00:00,=,0.205,=,0.083,<,0.05,=,1.55
DWR_EMP,C3A,38.36771,-121.5205,2019-10-01,2019-10-01 09:00:00,=,0.34,=,0.1,= (unreliable),NA,=,1.01
