Date,Regions,mean_pixel_val
2020-05-01,Central Delta,1.070588231086731
2020-05-01,Sacramento,0.8829149603843689
2020-05-01,San Joaquin,0
2020-05-02,Central Delta,NA
2020-05-02,Sacramento,NA
2020-05-02,San Joaquin,NA
2020-05-03,Central Delta,0
2020-05-03,Sacramento,0.2822968363761902
2020-05-03,San Joaquin,0
2020-05-04,Central Delta,0
2020-05-04,Sacramento,0
2020-05-04,San Joaquin,0
2020-05-05,Central Delta,0
2020-05-05,Sacramento,0
2020-05-05,San Joaquin,0
2020-05-06,Central Delta,NA
2020-05-06,Sacramento,NA
2020-05-06,San Joaquin,NA
2020-05-07,Central Delta,2.2361111640930176
2020-05-07,Sacramento,0
2020-05-07,San Joaquin,2.1914806365966797
2020-05-08,Central Delta,0
2020-05-08,Sacramento,0
2020-05-08,San Joaquin,0
2020-05-09,Central Delta,0
2020-05-09,Sacramento,0
2020-05-09,San Joaquin,0
2020-05-10,Central Delta,NA
2020-05-10,Sacramento,NA
2020-05-10,San Joaquin,NA
2020-05-11,Central Delta,0
2020-05-11,Sacramento,0.22378015518188477
2020-05-11,San Joaquin,0.6563013195991516
2020-05-12,Central Delta,0
2020-05-12,Sacramento,0
2020-05-12,San Joaquin,0
2020-05-13,Central Delta,NA
2020-05-13,Sacramento,NA
2020-05-13,San Joaquin,NA
2020-05-14,Central Delta,NA
2020-05-14,Sacramento,NA
2020-05-14,San Joaquin,NA
2020-05-15,Central Delta,0.5766128897666931
2020-05-15,Sacramento,0
2020-05-15,San Joaquin,0
2020-05-16,Central Delta,9.125
2020-05-16,Sacramento,0
2020-05-16,San Joaquin,0
2020-05-17,Central Delta,NA
2020-05-17,Sacramento,NA
2020-05-17,San Joaquin,NA
2020-05-18,Central Delta,NA
2020-05-18,Sacramento,NA
2020-05-18,San Joaquin,NA
2020-05-19,Central Delta,0
2020-05-19,Sacramento,0
2020-05-19,San Joaquin,0
2020-05-20,Central Delta,5.057894706726074
2020-05-20,Sacramento,0
2020-05-20,San Joaquin,0
2020-05-21,Central Delta,NA
2020-05-21,Sacramento,NA
2020-05-21,San Joaquin,NA
2020-05-22,Central Delta,NA
2020-05-22,Sacramento,NA
2020-05-22,San Joaquin,NA
2020-05-23,Central Delta,0
2020-05-23,Sacramento,0
2020-05-23,San Joaquin,0
2020-05-24,Central Delta,0
2020-05-24,Sacramento,0
2020-05-24,San Joaquin,0
2020-05-25,Central Delta,NA
2020-05-25,Sacramento,NA
2020-05-25,San Joaquin,NA
2020-05-26,Central Delta,NA
2020-05-26,Sacramento,NA
2020-05-26,San Joaquin,NA
2020-05-27,Central Delta,0
2020-05-27,Sacramento,0
2020-05-27,San Joaquin,0
2020-05-28,Central Delta,0
2020-05-28,Sacramento,0
2020-05-28,San Joaquin,0
2020-05-29,Central Delta,NA
2020-05-29,Sacramento,NA
2020-05-29,San Joaquin,NA
2020-05-30,Central Delta,NA
2020-05-30,Sacramento,0
2020-05-30,San Joaquin,0
2020-05-31,Central Delta,NA
2020-05-31,Sacramento,0
2020-05-31,San Joaquin,0
2020-06-01,Central Delta,0
2020-06-01,Sacramento,0
2020-06-01,San Joaquin,0
2020-06-02,Central Delta,NA
2020-06-02,Sacramento,NA
2020-06-02,San Joaquin,NA
2020-06-03,Central Delta,0
2020-06-03,Sacramento,0
2020-06-03,San Joaquin,0
2020-06-04,Central Delta,0
2020-06-04,Sacramento,0
2020-06-04,San Joaquin,0
2020-06-05,Central Delta,0
2020-06-05,Sacramento,0
2020-06-05,San Joaquin,0
2020-06-06,Central Delta,NA
2020-06-06,Sacramento,NA
2020-06-06,San Joaquin,NA
2020-06-07,Central Delta,2.1965811252593994
