Date,Name,mean_pixel_val
2020-05-01,Franks Tract,0
2020-05-01,Mildred Island,0
2020-05-02,Franks Tract,NA
2020-05-02,Mildred Island,NA
2020-05-03,Franks Tract,0
2020-05-03,Mildred Island,NA
2020-05-04,Franks Tract,0
2020-05-04,Mildred Island,0
2020-05-05,Franks Tract,0
2020-05-05,Mildred Island,0
2020-05-06,Franks Tract,NA
2020-05-06,Mildred Island,NA
2020-05-07,Franks Tract,0
2020-05-07,Mildred Island,0
2020-05-08,Franks Tract,0
2020-05-08,Mildred Island,NA
2020-05-09,Franks Tract,0
2020-05-09,Mildred Island,0
2020-05-10,Franks Tract,NA
2020-05-10,Mildred Island,NA
2020-05-11,Franks Tract,0
2020-05-11,Mildred Island,0
2020-05-12,Franks Tract,0
2020-05-12,Mildred Island,NA
2020-05-13,Franks Tract,NA
2020-05-13,Mildred Island,NA
2020-05-14,Franks Tract,NA
2020-05-14,Mildred Island,NA
2020-05-15,Franks Tract,0
2020-05-15,Mildred Island,0
2020-05-16,Franks Tract,NA
2020-05-16,Mildred Island,NA
2020-05-17,Franks Tract,NA
2020-05-17,Mildred Island,NA
2020-05-18,Franks Tract,NA
2020-05-18,Mildred Island,NA
2020-05-19,Franks Tract,0
2020-05-19,Mildred Island,0
2020-05-20,Franks Tract,0
2020-05-20,Mildred Island,0
2020-05-21,Franks Tract,NA
2020-05-21,Mildred Island,NA
2020-05-22,Franks Tract,NA
2020-05-22,Mildred Island,NA
2020-05-23,Franks Tract,0
2020-05-23,Mildred Island,0
2020-05-24,Franks Tract,0
2020-05-24,Mildred Island,0
2020-05-25,Franks Tract,NA
2020-05-25,Mildred Island,NA
2020-05-26,Franks Tract,NA
2020-05-26,Mildred Island,NA
2020-05-27,Franks Tract,0
2020-05-27,Mildred Island,0
2020-05-28,Franks Tract,0
2020-05-28,Mildred Island,0
2020-05-29,Franks Tract,NA
2020-05-29,Mildred Island,NA
2020-05-30,Franks Tract,NA
2020-05-30,Mildred Island,NA
2020-05-31,Franks Tract,NA
2020-05-31,Mildred Island,NA
2020-06-01,Franks Tract,0
2020-06-01,Mildred Island,0
2020-06-02,Franks Tract,NA
2020-06-02,Mildred Island,NA
2020-06-03,Franks Tract,0
2020-06-03,Mildred Island,NA
2020-06-04,Franks Tract,0
2020-06-04,Mildred Island,0
2020-06-05,Franks Tract,0
2020-06-05,Mildred Island,0
2020-06-06,Franks Tract,NA
2020-06-06,Mildred Island,NA
2020-06-07,Franks Tract,2.2359187602996826
2020-06-07,Mildred Island,0
2020-06-08,Franks Tract,0
2020-06-08,Mildred Island,0
2020-06-09,Franks Tract,NA
2020-06-09,Mildred Island,NA
2020-06-10,Franks Tract,NA
2020-06-10,Mildred Island,NA
2020-06-11,Franks Tract,0
2020-06-11,Mildred Island,0
2020-06-12,Franks Tract,NA
2020-06-12,Mildred Island,NA
2020-06-13,Franks Tract,NA
2020-06-13,Mildred Island,NA
2020-06-14,Franks Tract,NA
2020-06-14,Mildred Island,NA
2020-06-15,Franks Tract,NA
2020-06-15,Mildred Island,NA
2020-06-16,Franks Tract,0
2020-06-16,Mildred Island,0
2020-06-17,Franks Tract,NA
2020-06-17,Mildred Island,NA
2020-06-18,Franks Tract,NA
2020-06-18,Mildred Island,NA
2020-06-19,Franks Tract,0
2020-06-19,Mildred Island,0
2020-06-20,Franks Tract,0
2020-06-20,Mildred Island,0
2020-06-21,Franks Tract,NA
2020-06-21,Mildred Island,NA
2020-06-22,Franks Tract,NA
2020-06-22,Mildred Island,NA
2020-06-23,Franks Tract,0
2020-06-23,Mildred Island,0
2020-06-24,Franks Tract,0
2020-06-24,Mildred Island,0
2020-06-25,Franks Tract,NA
2020-06-25,Mildred Island,NA
2020-06-26,Franks Tract,NA
2020-06-26,Mildred Island,NA
2020-06-27,Franks Tract,0
2020-06-27,Mildred Island,0
2020-06-28,Franks Tract,0
2020-06-28,Mildred Island,0
2020-06-29,Franks Tract,NA
2020-06-29,Mildred Island,NA
2020-06-30,Franks Tract,1.1135977506637573
2020-06-30,Mildred Island,9.617176055908203
2020-07-01,Franks Tract,0
2020-07-01,Mildred Island,4.529494285583496
2020-07-02,Franks Tract,0
2020-07-02,Mildred Island,0
2020-07-03,Franks Tract,NA
2020-07-03,Mildred Island,NA
2020-07-04,Franks Tract,0.703090488910675
2020-07-04,Mildred Island,0
2020-07-05,Franks Tract,0
2020-07-05,Mildred Island,7.730769157409668
2020-07-06,Franks Tract,NA
2020-07-06,Mildred Island,NA
2020-07-07,Franks Tract,NA
2020-07-07,Mildred Island,NA
2020-07-08,Franks Tract,0
2020-07-08,Mildred Island,0
2020-07-09,Franks Tract,0
2020-07-09,Mildred Island,53.3684196472168
2020-07-10,Franks Tract,NA
2020-07-10,Mildred Island,NA
2020-07-11,Franks Tract,NA
2020-07-11,Mildred Island,NA
2020-07-12,Franks Tract,0
2020-07-12,Mildred Island,45.3961067199707
2020-07-13,Franks Tract,0
2020-07-13,Mildred Island,74.7727279663086
2020-07-14,Franks Tract,NA
2020-07-14,Mildred Island,NA
2020-07-15,Franks Tract,NA
2020-07-15,Mildred Island,NA
2020-07-16,Franks Tract,0
2020-07-16,Mildred Island,4.257510662078857
2020-07-17,Franks Tract,0
2020-07-17,Mildred Island,0
2020-07-18,Franks Tract,NA
2020-07-18,Mildred Island,NA
2020-07-19,Franks Tract,NA
2020-07-19,Mildred Island,NA
2020-07-20,Franks Tract,0
2020-07-20,Mildred Island,53.5
2020-07-21,Franks Tract,0
2020-07-21,Mildred Island,130
2020-07-22,Franks Tract,NA
2020-07-22,Mildred Island,NA
2020-07-23,Franks Tract,0
2020-07-23,Mildred Island,NA
2020-07-24,Franks Tract,0
2020-07-24,Mildred Island,82.06666564941406
2020-07-25,Franks Tract,0
2020-07-25,Mildred Island,NA
2020-07-26,Franks Tract,NA
2020-07-26,Mildred Island,NA
2020-07-27,Franks Tract,0
2020-07-27,Mildred Island,0
2020-07-28,Franks Tract,0
2020-07-28,Mildred Island,59.222984313964844
2020-07-29,Franks Tract,0
2020-07-29,Mildred Island,121.57563781738281
2020-07-30,Franks Tract,NA
2020-07-30,Mildred Island,NA
2020-07-31,Franks Tract,4.154189109802246
2020-07-31,Mildred Island,3.91304349899292
2020-08-01,Franks Tract,0
2020-08-01,Mildred Island,13.175010681152344
2020-08-02,Franks Tract,NA
2020-08-02,Mildred Island,NA
2020-08-03,Franks Tract,NA
2020-08-03,Mildred Island,NA
2020-08-04,Franks Tract,0
2020-08-04,Mildred Island,0
2020-08-05,Franks Tract,0
2020-08-05,Mildred Island,0
2020-08-06,Franks Tract,NA
2020-08-06,Mildred Island,NA
2020-08-07,Franks Tract,NA
2020-08-07,Mildred Island,NA
2020-08-08,Franks Tract,0
2020-08-08,Mildred Island,0
2020-08-09,Franks Tract,0
2020-08-09,Mildred Island,0
2020-08-10,Franks Tract,NA
2020-08-10,Mildred Island,NA
2020-08-11,Franks Tract,NA
2020-08-11,Mildred Island,NA
2020-08-12,Franks Tract,0
2020-08-12,Mildred Island,0
2020-08-13,Franks Tract,0
2020-08-13,Mildred Island,0
2020-08-14,Franks Tract,NA
2020-08-14,Mildred Island,NA
2020-08-15,Franks Tract,NA
2020-08-15,Mildred Island,NA
2020-08-16,Franks Tract,0
2020-08-16,Mildred Island,52.9406623840332
2020-08-17,Franks Tract,0
2020-08-17,Mildred Island,0
2020-08-18,Franks Tract,NA
2020-08-18,Mildred Island,NA
2020-08-19,Franks Tract,NA
2020-08-19,Mildred Island,NA
2020-08-20,Franks Tract,NA
2020-08-20,Mildred Island,NA
2020-08-21,Franks Tract,NA
2020-08-21,Mildred Island,NA
2020-08-22,Franks Tract,NA
2020-08-22,Mildred Island,NA
2020-08-23,Franks Tract,NA
2020-08-23,Mildred Island,NA
2020-08-24,Franks Tract,NA
2020-08-24,Mildred Island,NA
2020-08-25,Franks Tract,0
2020-08-25,Mildred Island,0
2020-08-26,Franks Tract,NA
2020-08-26,Mildred Island,NA
2020-08-27,Franks Tract,0
2020-08-27,Mildred Island,51.784507751464844
2020-08-28,Franks Tract,0
2020-08-28,Mildred Island,31.555715560913086
2020-08-29,Franks Tract,NA
2020-08-29,Mildred Island,NA
2020-08-30,Franks Tract,NA
2020-08-30,Mildred Island,NA
2020-08-31,Franks Tract,0
2020-08-31,Mildred Island,0
2020-09-01,Franks Tract,0
2020-09-01,Mildred Island,0
2020-09-02,Franks Tract,NA
2020-09-02,Mildred Island,NA
