DateTime,Date,Year,Station,Region,Taxon,Genus,Species,AlgalType,Count,OrganismsPerMl
2014-01-08T19:23:00Z,2014-01-08,2014,D19,Central Delta,cf. Bacillaria paxillifer,Bacillaria,NA,Pennate Diatom,1,56.2
2014-01-08T19:23:00Z,2014-01-08,2014,D19,Central Delta,cf. Navicula sp.,Navicula,NA,Pennate Diatom,1,56.2
2014-01-08T19:23:00Z,2014-01-08,2014,D19,Central Delta,Chroococcus microscopicus,Chroococcus,NA,Cyanobacterium,413,23210.47
2014-01-08T19:23:00Z,2014-01-08,2014,D19,Central Delta,Cocconeis placentula,Cocconeis,NA,Pennate Diatom,9,505.8
2014-01-08T19:23:00Z,2014-01-08,2014,D19,Central Delta,Cyclotella sp.,Cyclotella,NA,Centric Diatom,1,56.2
2014-01-08T19:23:00Z,2014-01-08,2014,D19,Central Delta,Gomphonema sp.,Gomphonema,NA,Pennate Diatom,2,112.4
2014-01-08T19:23:00Z,2014-01-08,2014,D19,Central Delta,Navicula lanceolata,Navicula,NA,Pennate Diatom,1,56.2
2014-01-08T19:23:00Z,2014-01-08,2014,D19,Central Delta,Pseudokephyrion pseudospirale,Pseudokephyrion,NA,Chrysophyte,1,56.2
2014-01-08T19:23:00Z,2014-01-08,2014,D19,Central Delta,Rhoicosphenia abbreviata,Rhoicosphenia,NA,Pennate Diatom,2,112.4
2014-01-08T20:24:00Z,2014-01-08,2014,D28A,Central Delta,Chlamydomonas globosa,Chlamydomonas,NA,Green Alga,5,227.61
2014-01-08T20:24:00Z,2014-01-08,2014,D28A,Central Delta,Chroococcus microscopicus,Chroococcus,NA,Cyanobacterium,366,16660.96
2014-01-08T20:24:00Z,2014-01-08,2014,D28A,Central Delta,Cocconeis placentula,Cocconeis,NA,Pennate Diatom,8,364.17
2014-01-08T20:24:00Z,2014-01-08,2014,D28A,Central Delta,Cyclotella sp.,Cyclotella,NA,Centric Diatom,6,273.13
2014-01-08T20:24:00Z,2014-01-08,2014,D28A,Central Delta,Navicula sp.,Navicula,NA,Pennate Diatom,3,136.57
2014-01-08T20:24:00Z,2014-01-08,2014,D28A,Central Delta,Rhodomonas cf. lacustris,Rhodomonas,NA,Cryptophyte,16,728.35
2014-01-09T18:15:00Z,2014-01-09,2014,D26,San Joaquin,Aulacoseira granulata,Aulacoseira,NA,Centric Diatom,8,520.25
2014-01-09T18:15:00Z,2014-01-09,2014,D26,San Joaquin,Chroococcus microscopicus,Chroococcus,NA,Cyanobacterium,368,23931.43
2014-01-09T18:15:00Z,2014-01-09,2014,D26,San Joaquin,Cocconeis placentula,Cocconeis,NA,Pennate Diatom,3,195.09
2014-01-09T18:15:00Z,2014-01-09,2014,D26,San Joaquin,Cyclotella sp.,Cyclotella,NA,Centric Diatom,10,650.31
2014-01-09T18:15:00Z,2014-01-09,2014,D26,San Joaquin,Nitzschia sp.,Nitzschia,NA,Pennate Diatom,2,130.06
2014-01-09T18:15:00Z,2014-01-09,2014,D26,San Joaquin,Pseudokephyrion pseudospirale,Pseudokephyrion,NA,Chrysophyte,1,65.03
2014-01-09T18:15:00Z,2014-01-09,2014,D26,San Joaquin,Rhodomonas cf. lacustris,Rhodomonas,NA,Cryptophyte,7,455.22
2014-01-09T18:15:00Z,2014-01-09,2014,D26,San Joaquin,Synedra ulna,Synedra,NA,Pennate Diatom,6,390.19
2014-01-10T19:00:00Z,2014-01-10,2014,D4,Sacramento,Chroococcus microscopicus,Chroococcus,NA,Cyanobacterium,411,26727.76
2014-01-10T19:00:00Z,2014-01-10,2014,D4,Sacramento,Cocconeis placentula,Cocconeis,NA,Pennate Diatom,1,65.03
2014-01-10T19:00:00Z,2014-01-10,2014,D4,Sacramento,Cyclotella sp.,Cyclotella,NA,Centric Diatom,8,520.25
2014-01-10T19:00:00Z,2014-01-10,2014,D4,Sacramento,Encyonema sp.,Encyonema,NA,Pennate Diatom,1,65.03
2014-01-10T19:00:00Z,2014-01-10,2014,D4,Sacramento,Gomphonema sp.,Gomphonema,NA,Pennate Diatom,1,65.03
2014-01-10T19:00:00Z,2014-01-10,2014,D4,Sacramento,Nitzschia sp.,Nitzschia,NA,Pennate Diatom,2,130.06
2014-01-10T19:00:00Z,2014-01-10,2014,D4,Sacramento,Rhodomonas cf. lacustris,Rhodomonas,NA,Cryptophyte,4,260.12
2014-02-06T17:00:00Z,2014-02-06,2014,D26,San Joaquin,Achnanthidium minutissimum,Achnanthidium,NA,Pennate Diatom,1,32.52
2014-02-06T17:00:00Z,2014-02-06,2014,D26,San Joaquin,Aulacoseira sp.,Aulacoseira,NA,Centric Diatom,7,227.61
2014-02-06T17:00:00Z,2014-02-06,2014,D26,San Joaquin,Chroococcus microscopicus,Chroococcus,NA,Cyanobacterium,400,13006.21
2014-02-06T17:00:00Z,2014-02-06,2014,D26,San Joaquin,Coscinodiscus sp.,Coscinodiscus,NA,Centric Diatom,1,32.52
2014-02-06T17:00:00Z,2014-02-06,2014,D26,San Joaquin,Cyclotella sp.,Cyclotella,NA,Centric Diatom,4,130.06
2014-02-06T17:00:00Z,2014-02-06,2014,D26,San Joaquin,Nitzschia sp.,Nitzschia,NA,Pennate Diatom,1,32.52
2014-02-06T17:00:00Z,2014-02-06,2014,D26,San Joaquin,Plagioselmis nannoplanctica,Plagioselmis,NA,Cryptophyte,5,162.58
2014-02-06T17:00:00Z,2014-02-06,2014,D26,San Joaquin,Pseudokephyrion pseudospirale,Pseudokephyrion,NA,Chrysophyte,1,32.52
2014-02-06T17:00:00Z,2014-02-06,2014,D26,San Joaquin,Synedra ulna,Synedra,NA,Pennate Diatom,3,97.55
2014-02-07T19:20:00Z,2014-02-07,2014,D19,Central Delta,Achnanthidium minutissimum,Achnanthidium,NA,Pennate Diatom,3,227.61
2014-02-07T19:20:00Z,2014-02-07,2014,D19,Central Delta,Aulacoseira sp.,Aulacoseira,NA,Centric Diatom,4,303.48
2014-02-07T19:20:00Z,2014-02-07,2014,D19,Central Delta,Bacillaria paxillifer,Bacillaria,NA,Pennate Diatom,1,75.87
2014-02-07T19:20:00Z,2014-02-07,2014,D19,Central Delta,cf. Euglena sp.,Euglena,NA,Euglenoid,1,75.87
2014-02-07T19:20:00Z,2014-02-07,2014,D19,Central Delta,Chroococcus microscopicus,Chroococcus,NA,Cyanobacterium,382,28982.17
2014-02-07T19:20:00Z,2014-02-07,2014,D19,Central Delta,Cocconeis placentula,Cocconeis,NA,Pennate Diatom,6,455.22
2014-02-07T19:20:00Z,2014-02-07,2014,D19,Central Delta,Cyclotella sp.,Cyclotella,NA,Centric Diatom,7,531.09
2014-02-07T19:20:00Z,2014-02-07,2014,D19,Central Delta,Navicula sp.,Navicula,NA,Pennate Diatom,1,75.87
2014-02-07T19:20:00Z,2014-02-07,2014,D19,Central Delta,Nitzschia sp.,Nitzschia,NA,Pennate Diatom,2,151.74
2014-02-07T19:20:00Z,2014-02-07,2014,D19,Central Delta,Plagioselmis nannoplanctica,Plagioselmis,NA,Cryptophyte,2,151.74
2014-02-07T19:20:00Z,2014-02-07,2014,D19,Central Delta,Pseudanabaena sp.,Pseudanabaena,NA,Cyanobacterium,2,151.74
2014-02-07T19:20:00Z,2014-02-07,2014,D19,Central Delta,Synedra ulna,Synedra,NA,Pennate Diatom,4,303.48
2014-02-07T20:40:00Z,2014-02-07,2014,D28A,Central Delta,Aulacoseira sp.,Aulacoseira,NA,Centric Diatom,3,85.35
2014-02-07T20:40:00Z,2014-02-07,2014,D28A,Central Delta,Bacillaria paxillifer,Bacillaria,NA,Pennate Diatom,2,56.9
2014-02-07T20:40:00Z,2014-02-07,2014,D28A,Central Delta,Chroococcus microscopicus,Chroococcus,NA,Cyanobacterium,384,10925.22
2014-02-07T20:40:00Z,2014-02-07,2014,D28A,Central Delta,Cocconeis placentula,Cocconeis,NA,Pennate Diatom,2,56.9
2014-02-07T20:40:00Z,2014-02-07,2014,D28A,Central Delta,Cyclotella sp.,Cyclotella,NA,Centric Diatom,2,56.9
2014-02-07T20:40:00Z,2014-02-07,2014,D28A,Central Delta,Plagioselmis nannoplanctica,Plagioselmis,NA,Cryptophyte,20,569.02
2014-02-07T20:40:00Z,2014-02-07,2014,D28A,Central Delta,Tabellaria sp.,Tabellaria,NA,Pennate Diatom,1,28.45
2014-02-10T20:45:00Z,2014-02-10,2014,D4,Sacramento,Chroococcus microscopicus,Chroococcus,NA,Cyanobacterium,405,30727.17
2014-02-10T20:45:00Z,2014-02-10,2014,D4,Sacramento,Cyclotella sp.,Cyclotella,NA,Centric Diatom,4,303.48
